id_police,nom_assure,branche,region,date_effet,prime_annuelle,statut
POL-OM-0050,Abla Fofana,Auto,Bouaké,2020-01-17,237475.86,Actif
POL-OM-0051,Kouame Gnamien,Habitation,Yamoussoukro,2023-07-29,907924.93,Actif
POL-OM-0052,Bintou Rasseka,Auto,Korhogo,2025-11-26,192802.05,Actif
POL-OM-0053,Awa Gnamien,Auto,Daloa,2019-08-14,301588.77,Résilié
POL-OM-0054,Yao Bamba,RC,Daloa,2020-08-26,783739.09,Actif
POL-OM-0055,Patrice Yapi,Auto,Bouaké,2019-08-12,545921.66,Actif
POL-OM-0056,Mariam Doumbia,Auto,bouaké,2020-05-31,225600.58,Actif
POL-OM-0057,Séry Silué,RC,Abidjan,2022-08-25,182594.17,Résilié
POL-OM-0058,Kouassi Yapi,Habitation,Bouaké,2024-02-14,495975.11,Suspendu
POL-OM-0059,Brou Lorougnon,Auto,Bouaké,2023-07-13,313249.77,Actif
POL-OM-0060,Clarisse Lorougnon,Habitation,Abidjan,2019-03-05,837044.56,Actif
POL-OM-0061,Aya Rasseka,Auto,San-Pédro,2020-09-15,419089.27,Suspendu
POL-OM-0062,Affoué Cissé,Auto,Daloa,2020-05-02,734836.05,Actif
POL-OM-0063,Sylvain Zoro,Auto,Abidjan,2022-03-27,96302.44,Actif
POL-OM-0064,Hervé Cissé,Auto,Abidjan,2020-01-01,503269.88,Résilié
POL-OM-0065,Kouame Zoro,Auto,Abidjan,2024-01-20,615003.78,Actif
POL-OM-0066,Bintou Zadi,Habitation,Abidjan,2020-12-11,374792.41,Actif
POL-OM-0067,Kouame Bakayoko,Habitation,Daloa,2025-01-30,266023.86,Actif
POL-OM-0068,Amoin Fofana,Auto,Daloa,2020-05-13,335829.85,Actif
POL-OM-0069,Clarisse Zoro,Auto,Daloa,2019-04-04,131546.03,Actif
POL-OM-0070,Mariam Tanoh,Habitation, San-Pédro,2024-06-16,580036.83,Actif
POL-OM-0071,Adjoua Yapi,Habitation,Korhogo,2025-12-06,575979.83,Résilié
POL-OM-0072,Awa Zadi,Habitation,Bouaké,2019-08-20,659925.92,Actif
POL-OM-0073,Amenan Doumbia,RC,Abidjan,2024-03-12,742256.18,Actif
POL-OM-0074,Kouadio Yeo,RC,San-Pédro,2020-06-11,632181.66,Résilié
POL-OM-0075,Kouame Kacou,Auto,San-Pédro,2020-12-14,607058.66,Résilié
POL-OM-0076,Solange Traoré,Auto,Yamoussoukro,2020-06-22,634541.5,Actif
POL-OM-0077,Mariam Diarra,Auto,Abidjan,2019-04-12,232147.34,Actif
POL-OM-0078,Hervé Quenum,Auto,Yamoussoukro,2024-11-11,441465.1,Actif
POL-OM-0079,Amoin Kouyaté,Auto,Abidjan,2020-07-10,365572.46,Suspendu
POL-OM-0080,Séry Gnamien,Auto,Abidjan,2025-02-11,772680.46,Résilié
POL-OM-0081,Ibrahim Koné,Habitation,Bouaké,2020-04-17,478553.41,Actif
POL-OM-0082,Brou Gnamien,Habitation,Daloa,2023-06-17,861961.77,Suspendu
POL-OM-0083,Clarisse Lorougnon,Auto,Bouaké,2022-12-08,491044.19,Actif
POL-OM-0084,Fatou Assamoi,Auto,Abidjan ,2024-06-10,806285.75,Actif
POL-OM-0085,Fatou Zadi,Habitation,Bouaké,2020-01-31,631648.99,Résilié
POL-OM-0086,Clarisse Tanoh,RC,San-Pédro,2021-05-07,414144.27,Actif
POL-OM-0087,Awa Meledje,Auto,Korhogo,2025-10-26,876821.5,Actif
POL-OM-0088,Aya Quenum,Auto,Bouaké,2019-09-12,559551.12,Actif
POL-OM-0089,Ibrahim Piebeng,Habitation,Korhogo,2024-11-18,868589.37,Actif
POL-OM-0090,Nadège Lorougnon,Habitation,Bouaké,2023-02-28,96473.6,Actif
POL-OM-0091,Ousmane Silué,Auto,Bouaké,2019-03-07,598161.15,Résilié
POL-OM-0092,Nadège Zoro,Habitation,Bouaké,2019-12-06,269228.12,Résilié
POL-OM-0093,Ibrahim Tanoh,Auto,San-Pédro,2024-11-29,566187.54,Résilié
POL-OM-0094,Bintou Diarra,Habitation,Yamoussoukro,2023-12-25,379327.69,Actif
POL-OM-0095,Kouassi Traoré,Habitation,San-Pédro,2020-03-21,92065.58,Actif
POL-OM-0096,Nadège Coulibaly,Habitation,Daloa,2025-08-29,374593.25,Actif
POL-OM-0097,Yao Zadi,RC,Bouaké,2019-01-09,583474.04,Actif
POL-OM-0098,Affoué Diarra,RC,Yamoussoukro ,2024-08-29,500445.48,Actif
POL-OM-0099,Adjoua Assamoi,RC,Korhogo,2020-12-31,226785.59,Suspendu
POL-OM-0100,Kouadio Coulibaly,Auto,Yamoussoukro,2022-12-13,273958.55,Actif
POL-OM-0101,Konan Houphouët,Auto,Bouaké,2023-03-05,482788.18,Actif
POL-OM-0102,Sylvain Nanan,Auto,Abidjan,2019-12-02,222620.8,Actif
POL-OM-0103,Souleymane Doumbia,Auto,Abidjan,2019-12-19,111259.11,Actif
POL-OM-0104,Affoué Traoré,Auto,Bouaké,2023-02-28,447148.48,Actif
POL-OM-0105,Patrice Koné,Habitation,Daloa,2019-09-22,786577.09,Résilié
POL-OM-0106,Nadège Yapi,Auto,Abidjan,2025-06-14,97479.97,Résilié
POL-OM-0107,Ousmane Zoro,Habitation,Abidjan,2019-12-12,379849.29,Actif
POL-OM-0108,Amenan Diarra,Auto,Daloa,2023-01-05,781061.75,Actif
POL-OM-0109,Ibrahim Yeo,Auto,Yamoussoukro,2021-10-20,402046.06,Résilié
POL-OM-0110,Konan Sangaré,Auto,Korhogo,2019-09-02,288944.5,Suspendu
POL-OM-0111,Nadège Zoro,Auto,Bouaké,2023-07-09,703950.5,Actif
POL-OM-0112,Patrice Ouattara,RC,Bouaké ,2022-06-19,363479.33,Actif
POL-OM-0113,Amenan Gnamien,Habitation,Abidjan,2019-11-03,784162.25,Résilié
POL-OM-0114,Adjoua Assamoi,Habitation,Abidjan,2019-05-08,581581.45,Actif
POL-OM-0115,Aya Kacou,Habitation,Yamoussoukro,2023-08-29,702120.06,Résilié
POL-OM-0116,Amenan Kacou,Habitation,Korhogo,2024-08-11,242072.71,Suspendu
POL-OM-0117,Mariam Lorougnon,Habitation,San-Pédro,2019-12-01,210778.09,Actif
POL-OM-0118,Patrice Yapi,Auto,Abidjan,2022-02-01,832511.91,Actif
POL-OM-0119,Konan Bakayoko,RC,Yamoussoukro,2020-05-03,381473.43,Actif
POL-OM-0120,Affoué Sangaré,Auto,Yamoussoukro,2023-02-12,380872.25,Suspendu
POL-OM-0121,Sylvain Yapi,Auto,Yamoussoukro,2023-02-02,921512.05,Suspendu
POL-OM-0122,Nadège Sangaré,Auto,Abidjan,2021-08-09,695224.24,Suspendu
POL-OM-0123,Amenan Kacou,Habitation,Bouaké,2020-04-06,132920.2,Actif
POL-OM-0124,Amenan Kacou,Habitation,Daloa,2023-04-02,926399.4,Résilié
POL-OM-0125,Koffi Kouyaté,Auto,Yamoussoukro,2024-12-17,765573.91,Résilié
POL-OM-0126,N'Guessan Cissé,Auto,ABIDJAN,2023-07-19,504559.75,Suspendu
POL-OM-0127,Koffi Fofana,Auto,San-Pédro,2023-11-05,546352.23,Actif
POL-OM-0128,Patrice Yapi,Auto,Bouaké,2020-01-31,93233.11,Suspendu
POL-OM-0129,Kouame Quenum,Habitation,Bouaké,2023-09-08,86155.89,Actif
POL-OM-0130,N'Guessan Bamba,Habitation,Abidjan,2022-07-08,526625.71,Suspendu
POL-OM-0131,Kouadio Traoré,Habitation,San-Pédro,2020-04-22,712299.58,Actif
POL-OM-0132,Awa Rasseka,RC,Daloa,2019-07-06,646561.34,Actif
POL-OM-0133,Mariam Koné,Habitation,Daloa,2020-07-05,540772.16,Actif
POL-OM-0134,N'Guessan Yeo,RC,Yamoussoukro,2022-02-27,602530.95,Actif
POL-OM-0135,Konan Rasseka,Auto,Korhogo,2021-12-30,191447.98,Actif
POL-OM-0136,Akissi Silué,Auto,Korhogo,2025-09-01,396749.15,Actif
POL-OM-0137,Amoin Quenum,Auto,San-Pédro,2024-08-15,340284.0,Actif
POL-OM-0138,Mariam Tanoh,Auto,Yamoussoukro,2021-12-22,591858.17,Actif
POL-OM-0139,Souleymane Adama,Auto,Daloa,2024-06-02,417080.72,Suspendu
POL-OM-0140,Affoué Doumbia,Habitation, San-Pédro,2023-02-21,329931.39,Résilié
POL-OM-0141,Ibrahim Coulibaly,RC,Bouaké,2025-04-12,402648.09,Actif
POL-OM-0142,Hervé Nanan,Auto,Daloa,2020-01-15,149332.86,Actif
POL-OM-0143,Konan Yapi,Habitation,Daloa,2025-09-23,494114.42,Actif
POL-OM-0144,Nadège Kouyaté,Auto,Abidjan,2021-05-13,546797.77,Suspendu
POL-OM-0145,Awa Nanan,Auto,Daloa,2022-10-11,611104.71,Actif
POL-OM-0146,Konan Yapi,Habitation,San-Pédro,2023-09-29,310710.65,Suspendu
POL-OM-0147,Affoué Yapi,Habitation,Abidjan,2023-06-25,752176.14,Actif
POL-OM-0148,Amoin Assamoi,Auto,Abidjan,2021-08-25,167375.44,Actif
POL-OM-0149,Bintou Diarra,Auto,Abidjan,2022-01-12,390793.17,Actif
POL-OM-0150,Mariam Fofana,Auto,Korhogo,2022-04-25,501998.95,Actif
POL-OM-0151,Awa Coulibaly,Habitation,Daloa,2021-10-11,106583.48,Suspendu
