id_police,nom_assure,produit,date_souscription,capital_assure,prime_annuelle,region,beneficiaire,statut
POL-AD-0020,Mariam Yeo,Retraite,2025-09-25,20206853.06,669569.44,Yamoussoukro,Souleymane Bamba,Actif
POL-AD-0021,Koffi Koné,Retraite,2018-04-30,20126355.37,858757.79,San-Pédro,Solange Yeo,Actif
POL-AD-0022,Sylvain Yeo,Épargne,2015-05-25,29333581.43,499522.66,Korhogo,Yao Cissé,Actif
POL-AD-0023,Brou Fofana,Prévoyance,2022-09-17,4291616.81,136690.34,Daloa,Koffi Rasseka,Actif
POL-AD-0024,Kouadio Diarra,Épargne,2024-03-14,13777562.42,388612.86,Abidjan,Yao Silué,Suspendu
POL-AD-0025,Kouadio Rasseka,Épargne,2016-11-21,20701821.8,966146.92,Bouaké,Fatou Lorougnon,Actif
POL-AD-0026,Kouame Diarra,Retraite,2016-02-27,7970045.52,334442.81,Yamoussoukro,Brou Lorougnon,Actif
POL-AD-0027,Clarisse Cissé,Retraite,2024-01-25,26657790.44,1271256.4,San-Pédro,Yao Houphouët,Actif
POL-AD-0028,Fatou Diarra,Épargne,2015-02-28,20700849.87,799701.69,Korhogo,Koffi Doumbia,Actif
POL-AD-0029,Mariam Sangaré,Retraite,2023-02-28,19713063.42,888583.46,daloa,Patrice Doumbia,Actif
POL-AD-0030,Solange Coulibaly,Prévoyance,2015-11-24,18770932.98,488768.35,Abidjan,Amenan Yapi,Suspendu
POL-AD-0031,Séry Silué,Prévoyance,2016-09-19,4579991.67,171070.55,Bouaké,Kouassi Ouattara,Actif
POL-AD-0032,Hervé Adama,Épargne,2018-11-14,26825081.19,996837.59,Yamoussoukro,Affoué Silué,Résilié
POL-AD-0033,Solange Bakayoko,Épargne,2018-01-29,10004728.72,126505.79,San-Pédro,Kouassi Traoré,Actif
POL-AD-0034,Brou Gnamien,Prévoyance,2016-02-13,21869218.04,542184.04,Korhogo,Yao Sangaré,Actif
POL-AD-0035,Séry Gnamien,Épargne,2024-12-13,29068110.36,830024.89,Daloa,Konan Bamba,Actif
POL-AD-0036,Hervé Cissé,Épargne,2023-01-09,10859690.18,376151.29,Abidjan,Amoin Doumbia,Actif
POL-AD-0037,Bintou Kouyaté,Prévoyance,2018-03-18,26976000.42,686456.74,Bouaké,Brou Yeo,Actif
POL-AD-0038,Kouadio Doumbia,Prévoyance,2024-01-04,,212639.87,Yamoussoukro,Clarisse Fofana,Actif
POL-AD-0039,Mariam Tanoh,Retraite,2020-12-13,4027440.52,50312.83,San-Pédro,Nadège Lorougnon,Suspendu
POL-AD-0040,Patrice Assamoi,Prévoyance,2024-02-29,12097827.36,277183.59,Korhogo,Ibrahim Sangaré,Résilié
POL-AD-0041,Souleymane Yapi,Prévoyance,2022-02-06,31369100.57,501706.2,Daloa,Hervé Doumbia,Résilié
POL-AD-0042,Solange Houphouët,Retraite,2021-10-20,12990785.5,606808.04,Abidjan,Kouassi Bamba,Actif
POL-AD-0043,Affoué Doumbia,Épargne,2018-03-10,19095415.9,350509.21,Bouaké,Affoué Sangaré,Actif
POL-AD-0044,Amenan Zadi,Épargne,2021-04-05,29034826.74,1189689.36,Yamoussoukro,Kouadio Adama,Actif
POL-AD-0045,Amenan Coulibaly,Prévoyance,2017-12-13,0,1234176.59,San-Pédro,Yao Coulibaly,Actif
POL-AD-0046,Kouassi Coulibaly,Retraite,2020-03-04,16112162.45,298938.47,Korhogo,Séry Yapi,Actif
POL-AD-0047,Aya Houphouët,Épargne,2025-01-06,9208231.88,185175.33,Daloa,Séry Kouyaté,Actif
POL-AD-0048,Clarisse Traoré,Retraite,2015-03-25,9337526.55,285251.67,Abidjan,Konan Coulibaly,Actif
POL-AD-0049,Ousmane Yeo,Retraite,2019-08-25,27626536.49,1140110.86,Bouaké,Akissi Adama,Actif
POL-AD-0050,Akissi Coulibaly,Retraite,2016-05-30,6369243.04,266967.05,Yamoussoukro,Affoué Houphouët,Suspendu
POL-AD-0051,Koffi Diarra,Retraite,2022-08-01,8822232.68,293972.17,San-Pédro,Aya Sangaré,Actif
POL-AD-0052,Yao Kacou,Prévoyance,2020-07-02,22035499.61,304004.22,Korhogo,Awa Ehoué,Actif
POL-AD-0053,Ahou Nanan,Épargne,2024-09-18,7818400.64,333607.8,Daloa,Akissi Rasseka,Actif
POL-AD-0054,Konan Assamoi,Épargne,2020-05-08,26899867.18,762757.0,Abidjan,Souleymane Bamba,Actif
POL-AD-0055,Konan Rasseka,Épargne,2022-08-21,12494880.77,439312.1,Bouaké,Amoin Tanoh,Actif
POL-AD-0056,Yao Houphouët,Retraite,2015-12-04,9084607.39,240892.99,Yamoussoukro,N'Guessan Meledje,Actif
POL-AD-0057,Kouadio Piebeng,Prévoyance,2019-12-22,,141766.82,San-Pédro,Séry Yapi,Actif
POL-AD-0058,Ibrahim Diarra,Épargne,2019-04-28,17947744.38,829138.43,Korhogo,Ibrahim Bamba,Suspendu
POL-AD-0059,Konan Houphouët,Prévoyance,2023-05-28,15585920.48,546415.74,Daloa,Amenan Assamoi,Actif
POL-AD-0060,Yao Koné,Prévoyance,2025-06-22,27569882.9,824598.09,Abidjan,Ousmane Zoro,Résilié
POL-AD-0061,Ibrahim Yapi,Retraite,2016-05-07,4545966.48,83747.06,Bouaké,Fatou Lorougnon,Actif
POL-AD-0062,Mariam Fofana,Retraite,2022-04-07,25066390.11,639394.81,Yamoussoukro,Akissi Assamoi,Résilié
POL-AD-0063,Amenan Ouattara,Prévoyance,2021-06-27,31604042.18,638554.55,San-Pédro,Séry Quenum,Suspendu
POL-AD-0064,Mariam Diarra,Retraite,2022-10-11,21281253.82,639409.75,korhogo,Séry Silué,Actif
POL-AD-0065,Nadège Diarra,Prévoyance,2022-08-31,15116039.37,262735.45,Daloa,Konan Bamba,Suspendu
POL-AD-0066,Hervé Bakayoko,Épargne,2017-05-15,17051852.12,683289.9,Abidjan,Kouame Bakayoko,Actif
POL-AD-0067,Koffi Quenum,Épargne,2025-03-03,19973785.91,627598.75,Bouaké,Mariam Diarra,Actif
POL-AD-0068,Mariam Quenum,Prévoyance,2018-12-30,28913803.61,1108866.0,Yamoussoukro,Adjoua Houphouët,Actif
POL-AD-0069,Sylvain Kouyaté,Épargne,2025-06-01,10539941.74,473117.71,San-Pédro,Sylvain Yeo,Actif
POL-AD-0070,Awa Kouyaté,Prévoyance,2023-08-17,15346407.16,233704.22,Korhogo,Kouame Yapi,Actif
POL-AD-0071,Sylvain Cissé,Épargne,2015-12-26,8195831.84,180400.92,Daloa,Hervé Adama,Actif
POL-AD-0072,Kouame Doumbia,Retraite,2021-06-24,22879329.95,399662.38,Abidjan,Aya Assamoi,Actif
POL-AD-0073,Souleymane Rasseka,Prévoyance,2019-03-24,31235774.31,-512907.41,Bouaké,Patrice Cissé,Actif
POL-AD-0074,Souleymane Assamoi,Épargne,2025-07-04,28346206.15,1073099.09,Yamoussoukro,Sylvain Adama,Résilié
POL-AD-0075,Brou Fofana,Épargne,2021-01-28,2033235.75,77963.2,San-Pédro,Kouadio Bakayoko,Actif
POL-AD-0076,Adjoua Tanoh,Retraite,2019-10-12,16473197.65,241849.13,Korhogo,Bintou Silué,Actif
POL-AD-0077,Aya Yapi,Épargne,2021-10-28,6040078.85,131000.21,Daloa,Amoin Bamba,Résilié
POL-AD-0078,Brou Silué,Épargne,2022-04-17,7439425.47,292713.37,Abidjan,Ibrahim Coulibaly,Actif
POL-AD-0079,N'Guessan Koné,Retraite,2018-03-14,13135892.52,540275.09,Bouaké,Hervé Traoré,Actif
POL-AD-0080,Yao Diarra,Épargne,2025-09-22,14263551.44,445534.47,Yamoussoukro,Kouadio Traoré,Résilié
POL-AD-0081,Kouadio Silué,Prévoyance,2015-05-08,,245934.96,San-Pédro,Kouassi Piebeng,Suspendu
POL-AD-0082,Fatou Tanoh,Épargne,2017-12-09,26953855.54,1083613.92,Korhogo,Souleymane Cissé,Actif
POL-AD-0083,Affoué Coulibaly,Épargne,2021-08-04,16637861.62,582404.42,Daloa,Souleymane Silué,Suspendu
POL-AD-0084,Ahou Traoré,Épargne,2019-10-21,30757821.91,705326.94,Abidjan,Ibrahim Cissé,Résilié
POL-AD-0085,Bintou Bamba,Épargne,2024-04-12,12075494.99,362540.84,Bouaké,Hervé Kacou,Actif
POL-AD-0086,Bintou Assamoi,Retraite,2015-07-07,31921291.47,394681.89,Yamoussoukro,Ousmane Zoro,Actif
POL-AD-0087,Akissi Zoro,Prévoyance,2017-10-18,10387245.23,144786.15,San-Pédro,Ibrahim Kacou,Suspendu
POL-AD-0088,Akissi Quenum,Épargne,2022-01-04,29455820.35,1080218.42,Korhogo,Séry Adama,Actif
POL-AD-0089,Mariam Doumbia,Retraite,2018-05-09,10262749.6,263849.45,Daloa,Brou Gnamien,Résilié
POL-AD-0090,Adjoua Coulibaly,Retraite,2019-03-23,14958927.32,192453.88,Abidjan,Mariam Tanoh,Résilié
POL-AD-0091,Kouassi Quenum,Épargne,2024-05-27,15256430.39,615199.51,Bouaké,Awa Yeo,Actif
POL-AD-0092,Amoin Yapi,Prévoyance,2017-09-30,11406773.89,140237.93,Yamoussoukro,Ahou Piebeng,Suspendu
POL-AD-0093,Patrice Assamoi,Prévoyance,2020-08-17,10755613.71,373095.49,San-Pédro,Amenan Koné,Actif
POL-AD-0094,Clarisse Kacou,Prévoyance,2021-07-08,13171249.83,221387.97,Korhogo,Kouame Yeo,Actif
POL-AD-0095,Mariam Tanoh,Épargne,2020-06-14,2045115.71,38377.28,Daloa,Kouassi Bakayoko,Suspendu
POL-AD-0096,Koffi Kacou,Épargne,2017-09-20,31833929.72,974187.48,Abidjan,Nadège Bakayoko,Suspendu
POL-AD-0097,Brou Ouattara,Prévoyance,2022-12-21,30829900.74,642867.62,Bouaké,Clarisse Tanoh,Actif
POL-AD-0098,Ousmane Bamba,Retraite,2021-01-06,8050700.08,112280.87,Yamoussoukro,Brou Fofana,Actif
POL-AD-0099,Nadège Gnamien,Prévoyance,2024-10-29,,420685.39,San-Pédro,N'Guessan Bakayoko,Résilié
POL-AD-0100,Ousmane Yeo,Retraite,2021-03-06,2869071.53,39606.78,Korhogo,Séry Doumbia,Actif
POL-AD-0101,Kouadio Doumbia,Prévoyance,2018-11-21,24864034.23,862598.66,Daloa,N'Guessan Meledje,Actif
POL-AD-0102,Kouassi Zoro,Prévoyance,2025-05-20,2191143.36,71381.98,Abidjan,Séry Gnamien,Actif
POL-AD-0103,Brou Gnamien,Épargne,2022-11-24,22816132.72,1039822.68,Bouaké,Clarisse Zadi,Suspendu
POL-AD-0104,Solange Fofana,Épargne,2020-11-21,5251445.06,123414.29,Yamoussoukro,Séry Zadi,Suspendu
POL-AD-0105,Ibrahim Doumbia,Épargne,2022-05-20,12094016.7,424471.65,San-Pédro,Nadège Bakayoko,Suspendu
POL-AD-0106,Adjoua Kacou,Prévoyance,2024-02-09,7203810.29,286494.66,Korhogo,Séry Doumbia,Actif
POL-AD-0107,Mariam Yeo,Prévoyance,2019-12-09,17480481.02,241867.0,Daloa,Souleymane Nanan,Actif
POL-AD-0108,N'Guessan Diarra,Épargne,2023-04-08,0,805124.81,Abidjan,Sylvain Kouyaté,Actif
POL-AD-0109,Fatou Piebeng,Retraite,2023-10-14,2866745.58,83737.94,Bouaké,Souleymane Coulibaly,Actif
POL-AD-0110,Konan Kouyaté,Épargne,2024-05-31,9396887.53,422103.34,Yamoussoukro,Souleymane Cissé,Actif
POL-AD-0111,Sylvain Doumbia,Retraite,2021-06-22,12054434.61,367121.2,San-Pédro,Akissi Bamba,Actif
POL-AD-0112,N'Guessan Yapi,Épargne,2021-11-21,26297024.74,908385.83,Korhogo,Solange Kacou,Actif
POL-AD-0113,Nadège Yeo,Retraite,2016-07-10,3228670.35,125310.66,Daloa,Souleymane Quenum,Résilié
POL-AD-0114,Nadège Quenum,Épargne,2025-11-24,31150768.4,509664.83,Abidjan,Kouadio Zoro,Suspendu
POL-AD-0115,Awa Bamba,Épargne,2018-09-26,6039756.02,180080.38,Bouaké,Akissi Sangaré,Suspendu
POL-AD-0116,Abla Ehoué,Épargne,2015-11-15,22361201.86,360466.03,Yamoussoukro,Amenan Kacou,Actif
POL-AD-0117,Ibrahim Yapi,Prévoyance,2017-09-05,26156891.15,341877.88,San-Pédro,Abla Lorougnon,Résilié
POL-AD-0118,Konan Bakayoko,Épargne,2016-10-02,20145670.02,575394.97,Korhogo,Aya Piebeng,Résilié
POL-AD-0119,Patrice Quenum,Épargne,2023-11-12,8512046.64,196681.72,Daloa,Brou Fofana,Suspendu
POL-AD-0120,Mariam Bamba,Retraite,2019-01-24,,169822.77,Abidjan,Mariam Ouattara,Actif
POL-AD-0121,Kouadio Gnamien,Prévoyance,2019-12-06,27250827.04,927793.11,Bouaké,Hervé Bakayoko,Actif
POL-AD-0122,Ousmane Assamoi,Épargne,2017-02-20,6927656.05,278197.11,Yamoussoukro,Affoué Zoro,Actif
POL-AD-0123,Amoin Assamoi,Prévoyance,2016-05-03,5169319.72,216596.4,San-Pédro,Clarisse Piebeng,Actif
POL-AD-0124,Abla Bakayoko,Prévoyance,2023-09-19,23386927.54,814454.79,Korhogo,Kouassi Cissé,Suspendu
POL-AD-0125,Amenan Ouattara,Épargne,2017-07-07,14004785.06,551955.02,Daloa,Mariam Quenum,Résilié
POL-AD-0126,Akissi Bamba,Prévoyance,2025-03-26,18988177.58,903081.37,Abidjan,Amoin Lorougnon,Actif
POL-AD-0127,Kouadio Zoro,Retraite,2015-09-04,24721208.82,685985.32,Bouaké,Aya Rasseka,Actif
POL-AD-0128,Hervé Koné,Retraite,2025-09-06,12426432.5,210878.55,Yamoussoukro,Amenan Houphouët,Actif
POL-AD-0129,Patrice Bamba,Épargne,2015-07-27,28369939.93,922442.43,San-Pédro,Affoué Nanan,Actif
POL-AD-0130,Ahou Kouyaté,Épargne,2024-03-23,13216788.64,512742.67,Korhogo,Sylvain Bamba,Actif
POL-AD-0131,Koffi Nanan,Épargne,2023-01-14,29901561.75,933984.48,Daloa,Ibrahim Houphouët,Suspendu
POL-AD-0132,Sylvain Sangaré,Épargne,2025-07-19,10923248.29,509345.35,Abidjan,Brou Sangaré,Suspendu
POL-AD-0133,Abla Yeo,Prévoyance,2015-08-22,12623385.48,580981.68,Bouaké,Nadège Cissé,Actif
POL-AD-0134,Ousmane Zoro,Retraite,2015-04-30,19525327.12,404127.25,Yamoussoukro,Kouame Fofana,Actif
POL-AD-0135,Brou Bakayoko,Retraite,2020-01-11,3041856.36,135580.83,San-Pédro,Abla Sangaré,Actif
POL-AD-0136,Akissi Silué,Épargne,2023-03-17,11937755.69,177786.79,Korhogo,Ibrahim Diarra,Actif
POL-AD-0137,Mariam Meledje,Épargne,2023-12-11,3311523.77,145547.24,daloa,Souleymane Kacou,Résilié
POL-AD-0138,Fatou Quenum,Retraite,2025-01-31,16618321.96,677696.84,Abidjan,Kouassi Bakayoko,Résilié
POL-AD-0139,Séry Adama,Retraite,2020-04-19,31755088.07,475740.85,Bouaké,Nadège Bakayoko,Actif
POL-AD-0140,Séry Meledje,Retraite,2024-01-17,11723426.44,356239.5,Yamoussoukro,Akissi Meledje,Actif
POL-AD-0141,Solange Koné,Épargne,2015-03-21,,421958.88,San-Pédro,Amenan Gnamien,Actif
POL-AD-0142,Adjoua Zadi,Épargne,2018-12-21,27523954.98,619467.11,Korhogo,Solange Meledje,Actif
POL-AD-0143,Ahou Ehoué,Épargne,2021-03-20,15693327.07,324850.5,Daloa,Koffi Ehoué,Résilié
POL-AD-0144,Aya Bamba,Prévoyance,2023-01-17,2351953.11,93061.62,Abidjan,Abla Bakayoko,Suspendu
POL-AD-0145,Patrice Doumbia,Épargne,2021-07-05,8882612.87,372124.38,Bouaké,Ahou Koné,Suspendu
POL-AD-0146,Affoué Gnamien,Retraite,2019-09-19,24231990.77,377234.29,Yamoussoukro,Hervé Rasseka,Actif
POL-AD-0147,Ousmane Zoro,Prévoyance,2016-05-26,26657482.82,916025.07,San-Pédro,Solange Ehoué,Suspendu
POL-AD-0148,Clarisse Silué,Retraite,2017-01-28,3866097.41,58109.05,Korhogo,Kouame Yeo,Actif
POL-AD-0149,Solange Diarra,Épargne,2019-02-01,29001882.39,1112155.34,Daloa,Solange Doumbia,Actif
POL-AD-0150,Séry Rasseka,Prévoyance,2024-11-13,5810242.94,190084.13,Abidjan,Ahou Lorougnon,Résilié
